lat,lon,n,year,month,day,ozone,ozone_max,hour_max,aqi,pressure,humidity,temp,windsp,winddir
33.83062,-117.93845,24,2002,4,21,0.026917,0.056,10,47,29.725,58,63.041667,3.279167,207.166667
33.83062,-117.93845,24,2002,4,22,0.023917,0.046,10,39,29.7375,52.666667,66.375,2.954167,178.25
33.83062,-117.93845,24,2002,4,23,0.029625,0.048,10,41,29.8375,67.125,64.25,3.904167,198.416667
33.83062,-117.93845,24,2002,4,24,0.016667,0.027,14,23,29.870833,78.458333,60.541667,3.029167,239.166667
33.83062,-117.93845,24,2002,4,25,0.017042,0.025,9,21,29.758333,77.708333,61.208333,4.225,235.291667
33.83062,-117.93845,24,2002,4,26,0.028292,0.038,17,32,29.683333,81.375,58.416667,5.525,234.125
33.83062,-117.93845,24,2002,4,27,0.020208,0.031,0,26,29.775,73.291667,56.791667,4.229167,232.375
33.83062,-117.93845,24,2002,4,28,0.021083,0.037,10,31,29.825,66.833333,60.666667,3.070833,175.625
33.83062,-117.93845,24,2002,4,29,0.017208,0.029,9,25,29.808333,66.708333,60.708333,4.191667,216.541667
33.83062,-117.93845,24,2002,4,30,0.024958,0.038,11,32,29.766667,68.458333,59.791667,4.616667,251.083333
33.83062,-117.93845,24,2002,5,1,0.025875,0.045,10,38,29.725,66.375,58.666667,3.891667,185.208333
33.83062,-117.93845,24,2002,5,2,0.013208,0.036,14,31,29.775,71.291667,59.166667,0.579167,56.375
33.83062,-117.93845,24,2002,5,3,0.018083,0.038,9,32,29.821429,77.5,60.125,3.6125,215
33.83062,-117.93845,24,2002,5,4,0.0255,0.042,10,36,29.8125,81.75,60.125,3.4,192.708333
33.83062,-117.93845,24,2002,5,5,0.035625,0.041,8,35,29.826087,83.458333,59.958333,3.391667,214.333333
33.83062,-117.93845,24,2002,5,6,0.032417,0.038,12,32,29.808696,81.375,60.375,3.579167,189.958333
33.83062,-117.93845,24,2002,5,7,0.034667,0.038,8,32,29.7375,78.416667,60.25,4.483333,204.25
